Model,R²,RMSE,MAE
A: Baseline (no school),-0.19632912335295583,13.229195648314445,7.397234417574075
B: With School Avg ⭐,0.23948647822468483,10.547792357860521,5.784459632103281
C: Predict Deviation,0.256636459570448,10.428185068430691,5.835936867686833
D: Log Transform,0.238213937586648,10.556613295212724,5.9642873221393735
